created_at,hashtags,media,favorite_count,id,retweet_count,text,user_screen_name,user_name
Sat May 02 14:19:18 +0000 2015,5cdh newrigor,http://twitter.com/jeffreymoro/status/594506454326992897/photo/1,1,594506454326992897,1,Campbell thinking through Anne Friedberg to conceptualize the screen as digital window. @5collDH #5cdh #newrigor http://t.co/Iv6Eo4byal,jeffreymoro,Jeffrey Moro
Sat May 02 14:18:04 +0000 2015,5cdh newrigor,http://twitter.com/jeffreymoro/status/594506143633899520/photo/1,0,594506143633899520,2,Campbell uses @anvcscalar to build his @5collDH project! #5cdh #newrigor http://t.co/nkdbS0SWIu,jeffreymoro,Jeffrey Moro
Sat May 02 14:17:12 +0000 2015,5cdh newrigor,,0,594505925446209536,1,"Campbell: ""The virtual disappears as it becomes actualized in physical space."" @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
Sat May 02 14:16:11 +0000 2015,5cdh newrigor,,0,594505669237153792,1,"First up, Craig Campbell with ""Cruising the Virtual""! @AmherstCollege @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
Sat May 02 14:13:50 +0000 2015,5cdh newrigor,,0,594505078402359296,3,".@amplify285: our Undergrad Fellows program is about ""empowering individual scholars"" @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
Sat May 02 14:12:57 +0000 2015,5cdh newrigor,,0,594504853600215041,0,We're getting started with the Student Symposium! @5collDH #5cdh #newrigor,jeffreymoro,Jeffrey Moro
Sat May 02 14:00:01 +0000 2015,5cdh newrigor,,0,594501601651466240,0,#5cdh #newrigor @ Amherst College https://t.co/VG47pxfbEQ,sheishistoric,Emily Esten
Sat May 02 12:10:03 +0000 2015,NewRigor,,0,594473927990083585,0,"Juliana van Roggen of @UMassAmherst maps the iron streets of Pompeii in her undergrad DH proj

Today! ⇢ http://t.co/DiHFNdWy7q #NewRigor",5collDH,Five College DH
Sat May 02 11:45:09 +0000 2015,newrigor,,0,594467658147368960,0,"“Cyberspace: the dream of what the internet might allow.” √ fellow Craig Campbell’s DH proj.

Today! 10am ⇢ http://t.co/DiHFNdWy7q #newrigor",5collDH,Five College DH
Sat May 02 09:51:01 +0000 2015,OculusRift blacklivesmatter NewRigor,,3,594438936375754752,3,"DH fellow Coralie Pardo uses #OculusRift to explore #blacklivesmatter in her undergrad project 

TODAY! ⇢ http://t.co/DiHFNdEXfS  #NewRigor",5collDH,Five College DH
