created_at,hashtags,media,favorite_count,id,retweet_count,text,user_screen_name,user_name
Sat May 02 16:53:13 +0000 2015,blue NewRigor,,1,594545189156433920,1,hi #blue group!!!! #NewRigor @5collDH,_superluminal,liz alexander
Sat May 02 16:53:11 +0000 2015,newrigor Orange,,0,594545180684001281,1,Conversations on professional evaluation of digital humanities beginning now at the #newrigor. #Orange group a mix of techs and librarians.,EduObservatory,Andy Anderson
Sat May 02 16:49:39 +0000 2015,orange newrigor,,1,594544287968317440,0,exciting #orange group is forming at #newrigor @5collDH,SmithGIS,GIS @ Smith College
Sat May 02 16:47:20 +0000 2015,newrigor,http://twitter.com/EcstaticPesse/status/594543707640229889/photo/1,0,594543707640229889,2,I'm not sure if my new hand is going to let me tweet for #newrigor I need a smaller keyboard @5collDH http://t.co/QGGTV8oDQT,EcstaticPesse,Ecstatic Pessimist
Sat May 02 16:42:52 +0000 2015,newrigor,,0,594542583545733120,1,"@amplify285 kicks off the @5collDH #newrigor conference. ""What is *actually* helpful?""",kgbain,Kimberly Bain
Sat May 02 16:38:10 +0000 2015,5cdh newrigor,,0,594541401532198912,0,"Great time at the undergrad #5cdh symposium, extremely excited to meet some minds at #newrigor",EcstaticPesse,Ecstatic Pessimist
Sat May 02 16:30:52 +0000 2015,DHfuel NewRigor,,1,594539563667824640,0,Pocky sticks as #DHfuel at #NewRigor. I like it!,ByzCapp,Byzantine Cappadocia
Sat May 02 16:27:22 +0000 2015,newrigor,,0,594538681916071937,0,Getting ready to start at the #newrigor @umassph,jonberndtolsen,Jon Berndt Olsen
Sat May 02 16:05:10 +0000 2015,5cdh newrigor,,0,594533096134995970,0,"@Pompeiana79 this implications of this question are terrifying! But based on the presentation, I'm leaning towards yes. #5cdh #newrigor",sheishistoric,Emily Esten
Sat May 02 16:03:58 +0000 2015,NewRigor,http://twitter.com/_superluminal/status/594532793557884928/photo/1,1,594532793557884928,1,Skyping in to the #NewRigor with @5collDH !! Talking new modes of DH scholarship evaluation http://t.co/y0WH4gN1je,_superluminal,liz alexander
