coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sat May 02 18:57:26 +0000 2015,newrigor green,,,0,594576449635491840,,,,en,,,2,594551184565862401,Pompeiana79,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Pompeiana79: 'data' as a vocabulary not nec. native to humanities training; atomization of elements of research is not always intuitive…,https://twitter.com/sheishistoric/status/594576449635491840,Fri Sep 13 02:12:37 +0000 2013,sheishistoric,False,History/DH Major. Incurable reader. Proud travel lover. Passionate web scholar. Persistent Tumblr blogger. Constantly in search of numen. Tweets are my own.,12420,275,690,18,UMass Amherst,Emily Esten,sheishistoric,1903,,http://emilyesten.com,False
,Sat May 02 18:55:25 +0000 2015,NewRigor blue,,,0,594575941394944001,,,,en,,,2,594546743129309184,_superluminal,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @_superluminal: #NewRigor #blue group: me, @mariinyrop @ByzCapp @Yael_Rice, and others! starting out immediately with a discussion of do…",https://twitter.com/mariinyrop/status/594575941394944001,Fri Jun 06 17:58:25 +0000 2014,mariinyrop,False,/+ post-bac technologist @5collDH +/ http://t.co/jRZ0GYBCP4,30,36,71,3,,marii nyröp,mariinyrop,57,,,False
,Sat May 02 18:52:51 +0000 2015,newrigor,http://twitter.com/EcstaticPesse/status/594543707640229889/photo/1,,0,594575293312040960,,,,en,,False,2,594543707640229889,EcstaticPesse,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @EcstaticPesse: I'm not sure if my new hand is going to let me tweet for #newrigor I need a smaller keyboard @5collDH http://t.co/QGGTV8…,https://twitter.com/kgbain/status/594575293312040960,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:47 +0000 2015,blue NewRigor,,,0,594575277684031488,,,,en,,,1,594545189156433920,_superluminal,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @_superluminal: hi #blue group!!!! #NewRigor @5collDH,https://twitter.com/kgbain/status/594575277684031488,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:45 +0000 2015,NewRigor blue,,,0,594575267697405952,,,,en,,,2,594546743129309184,_superluminal,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @_superluminal: #NewRigor #blue group: me, @mariinyrop @ByzCapp @Yael_Rice, and others! starting out immediately with a discussion of do…",https://twitter.com/kgbain/status/594575267697405952,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:41 +0000 2015,orange newrigor,,,0,594575254284034048,,,,en,,,2,594547020192419842,EduObservatory,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @EduObservatory: “How are questions of evaluation &amp; assessment different for principal investigators”
No major acks for scholarly work!
…",https://twitter.com/kgbain/status/594575254284034048,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:37 +0000 2015,blue NewRigor,,,0,594575235480977409,,,,en,,,1,594547395800727553,_superluminal,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @_superluminal: what is twitter and how can academics best utilize it personally and professionally? #blue #NewRigor,https://twitter.com/kgbain/status/594575235480977409,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:34 +0000 2015,newrigor red,,,0,594575224328314880,,,,en,,,1,594547594396717056,EcstaticPesse,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @EcstaticPesse: #newrigor #red Talking about excessive focus on social entrepreneurship  and money making aspects of digital technology …,https://twitter.com/kgbain/status/594575224328314880,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:32 +0000 2015,red newrigor,,,0,594575216640192512,,,,en,,,1,594547665901334529,sheishistoric,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @sheishistoric: #red group dives into a discussion of the ""high risk/high reward"" model and our experience as undergraduates #newrigor",https://twitter.com/kgbain/status/594575216640192512,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:12 +0000 2015,orange newrigor,,,0,594575128891101186,,,,en,,,2,594549849506357248,EduObservatory,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @EduObservatory: “What is the difference between collaboration and support?”
Involved from the beginning: design, implement, review.
#or…",https://twitter.com/Pompeiana79/status/594575128891101186,Thu May 31 13:37:44 +0000 2012,Pompeiana79,False,"Roman Archaeologist, Pompeii Specialist, DH Devotee",1749,603,420,24,Western Mass,Eric Poehler,Pompeiana79,3452,,http://umass.academia.edu/EricPoehler,False
